N,wavenumber_cm-1,frequency_THz,wavelength_vac_nm,strength
1,14800.9570,443.721528,675.63199,8
2,14800.9984,443.722769,675.63010,9
3,14801.9502,443.751303,675.58665,11
4,14802.6582,443.772529,675.55434,8
5,14802.9188,443.780341,675.54245,9
6,14802.9658,443.781750,675.54030,9
7,14803.8773,443.809076,675.49871,12
8,14803.9106,443.810075,675.49719,7
9,14804.8508,443.838261,675.45429,11
10,14805.7321,443.864682,675.41409,11
11,14806.6474,443.892122,675.37233,10
12,14806.6783,443.893048,675.37092,10
13,14807.5369,443.918788,675.33176,12
14,14808.2180,443.939207,675.30070,9
15,14808.4386,443.945821,675.29064,12
16,14809.2690,443.970715,675.25278,12
17,14809.5649,443.979586,675.23928,9
18,14810.1076,443.995856,675.21454,13
19,14810.1344,443.996660,675.21332,12
20,14810.4831,444.007113,675.19742,8
21,14810.9395,444.020796,675.17662,11
22,14811.7429,444.044881,675.13999,11
23,14812.5444,444.068909,675.10346,11
24,14813.3152,444.092017,675.06833,12
25,14813.4971,444.097471,675.06004,8
26,14814.0787,444.114907,675.03354,14
27,14814.3897,444.124230,675.01937,9
28,14814.8275,444.137355,674.99942,11
29,14815.5477,444.158946,674.96661,12
30,14815.6649,444.162460,674.96127,8
31,14816.0450,444.173855,674.94395,10
32,14816.2485,444.179956,674.93468,11
33,14816.2704,444.180612,674.93369,11
34,14816.5418,444.188749,674.92132,7
35,14816.9212,444.200123,674.90404,13
36,14816.9491,444.200959,674.90277,14
37,14817.2837,444.210990,674.88753,8
38,14817.6318,444.221426,674.87168,11
39,14818.2876,444.241086,674.84181,14
40,14818.5169,444.247961,674.83137,8
41,14818.9269,444.260252,674.81270,12
42,14819.5636,444.279340,674.78370,16
43,14819.7264,444.284220,674.77629,7
44,14820.1737,444.297630,674.75592,13
45,14820.7662,444.315393,674.72895,16
46,14820.9250,444.320154,674.72172,8
47,14821.3475,444.332820,674.70249,14
48,14821.9083,444.349632,674.67696,11
49,14822.1017,444.355430,674.66815,7
50,14822.4566,444.366070,674.65200,14
51,14822.9868,444.381965,674.62787,15
52,14823.5034,444.397452,674.60436,11
53,14824.0010,444.412370,674.58171,13
54,14824.0748,444.414582,674.57836,9
55,14824.4805,444.426745,674.55989,12
56,14824.9440,444.440640,674.53880,12
57,14825.3969,444.454218,674.51820,9
58,14825.5324,444.458280,674.51203,8
59,14825.8289,444.467169,674.49854,11
60,14826.2428,444.479577,674.47971,10
61,14826.6436,444.491593,674.46148,17
62,14827.0265,444.503072,674.44406,10
63,14827.3949,444.514116,674.42731,12
64,14827.7409,444.524489,674.41157,15
65,14828.0756,444.534523,674.39635,10
66,14828.3994,444.544230,674.38162,10
67,14828.6962,444.553128,674.36812,9
68,14828.8175,444.556765,674.36261,8
69,14828.9860,444.561816,674.35494,10
70,14829.2531,444.569824,674.34280,8
71,14829.5703,444.579333,674.32837,7
72,14829.7398,444.584415,674.32066,8
73,14830.1677,444.597243,674.30121,8
74,14830.3540,444.602828,674.29274,7
75,14830.5229,444.607891,674.28506,8
76,14830.8146,444.616636,674.27180,6
77,14830.9254,444.619958,674.26676,9
78,14831.6545,444.641816,674.23361,8
79,14831.9428,444.650459,674.22051,9
80,14832.6713,444.672299,674.18739,8
81,14832.9555,444.680819,674.17448,7
82,14833.9471,444.710546,674.12941,10
83,14834.4163,444.724613,674.10809,7
84,14834.6483,444.731568,674.09755,9
85,14835.6157,444.760570,674.05359,8
86,14835.8910,444.768823,674.04108,9
87,14836.5644,444.789011,674.01049,10
88,14836.8285,444.796928,673.99849,7
89,14836.9467,444.800472,673.99312,7
90,14837.4890,444.816730,673.96849,8
91,14837.7557,444.824725,673.95637,9
92,14838.4100,444.844341,673.92665,9
93,14839.3071,444.871235,673.88591,9
94,14840.1838,444.897518,673.84610,9
95,14840.4277,444.904830,673.83503,7
96,14840.8210,444.916621,673.81717,10
97,14841.2937,444.930792,673.79571,10
98,14842.7313,444.973890,673.73045,13
99,14843.5402,444.998140,673.69373,8
100,14843.7700,445.005029,673.68330,9
101,14844.5622,445.028779,673.64735,10
102,14844.6327,445.030893,673.64415,8
103,14845.1229,445.045588,673.62191,8
104,14845.8833,445.068385,673.58740,9
105,14846.0967,445.074782,673.57772,11
106,14846.6358,445.090944,673.55326,9
107,14846.8351,445.096919,673.54422,9
108,14847.3614,445.112697,673.52035,8
109,14848.0786,445.134198,673.48781,10
110,14848.3651,445.142787,673.47482,9
111,14848.7712,445.154962,673.45640,8
112,14848.9688,445.160886,673.44744,8
113,14849.4538,445.175425,673.42544,10
114,14849.6357,445.180879,673.41719,7
115,14850.1175,445.195323,673.39535,7
116,14850.2103,445.198105,673.39114,8
117,14850.2952,445.200650,673.38729,9
118,14850.7597,445.214575,673.36623,7
119,14850.9350,445.219831,673.35828,8
120,14851.5571,445.238481,673.33007,9
