v_upper,v_lower,FCF,overlap,r_centroid_A,transition_moment_integral,vibronic_strength
1,0,3.239829483079e-08,-1.799952633566e-04,2.82005213,-1.799952633566e-04,3.239829483079e-08
1,1,7.282520866001e-07,-8.533768725482e-04,2.83063547,-8.533768725482e-04,7.282520866001e-07
1,2,7.917243417096e-06,-2.813759658730e-03,2.84140254,-2.813759658730e-03,7.917243417096e-06
1,3,5.546096808725e-05,-7.447212101669e-03,2.85234784,-7.447212101669e-03,5.546096808725e-05
1,4,2.813229839417e-04,-1.677268565083e-02,2.86346598,-1.677268565083e-02,2.813229839417e-04
1,5,1.100599728569e-03,-3.317528791992e-02,2.87475171,-3.317528791992e-02,1.100599728569e-03
1,6,3.452637613977e-03,-5.875914919378e-02,2.88620002,-5.875914919378e-02,3.452637613977e-03
1,7,8.909973233363e-03,-9.439265455195e-02,2.89780614,-9.439265455195e-02,8.909973233363e-03
1,8,1.924071406096e-02,-1.387109010170e-01,2.90956551,-1.387109010170e-01,1.924071406096e-02
1,9,3.514641073959e-02,-1.874737601361e-01,2.92147357,-1.874737601361e-01,3.514641073959e-02
2,0,2.213475501454e-07,4.704758762629e-04,2.81395147,4.704758762629e-04,2.213475501454e-07
2,1,4.544229018160e-06,2.131719732554e-03,2.82437958,2.131719732554e-03,4.544229018160e-06
2,2,4.471409208538e-05,6.686859657969e-03,2.83499103,6.686859657969e-03,4.471409208538e-05
2,3,2.805177514817e-04,1.674866417007e-02,2.84577994,1.674866417007e-02,2.805177514817e-04
2,4,1.258473797660e-03,3.547497424467e-02,2.85674032,3.547497424467e-02,1.258473797660e-03
2,5,4.289176314244e-03,6.549180341267e-02,2.86786602,6.549180341267e-02,4.289176314244e-03
2,6,1.150534885011e-02,1.072629891906e-01,2.87915067,1.072629891906e-01,1.150534885011e-02
2,7,2.479314118265e-02,1.574583792075e-01,2.89058741,1.574583792075e-01,2.479314118265e-02
2,8,4.333049339811e-02,2.081597785311e-01,2.90216821,2.081597785311e-01,4.333049339811e-02
